1.000000	9.679783	0.084210	0.950438	0.027947	-0.025573	0.004253
2.000000	9.726202	0.152819	0.934800	0.026721	-0.011303	0.011522
3.000000	9.744306	0.180467	0.901241	0.018833	-0.002384	0.006923
4.000000	9.756344	0.140081	0.848137	-0.002142	-0.005205	0.005697
5.000000	9.742937	0.085662	0.890111	0.000654	-0.010963	0.004348
6.000000	9.711580	-0.063396	0.954794	-0.011382	0.010522	-0.002118
7.000000	9.654970	-0.157639	1.068438	-0.014086	-0.011799	-0.013152
8.000000	9.629608	-0.123767	1.098227	-0.010534	-0.005999	-0.001541
9.000000	9.646613	-0.065854	1.033123	-0.026868	-0.022865	0.003809
10.000000	9.660239	-0.107973	0.984855	-0.055925	-0.028972	0.015581
11.000000	9.588892	-0.045103	1.020210	-0.092796	-0.038475	0.018653
12.000000	9.493747	0.132663	1.052278	-0.186453	-0.028881	0.006091
13.000000	9.542867	0.236402	1.048414	-0.262498	-0.014542	0.036316
14.000000	9.724070	0.144019	1.009343	-0.304432	-0.017244	0.049298
15.000000	9.798602	0.103409	0.990944	-0.322760	-0.017232	0.046974
16.000000	9.792964	0.155212	0.874945	-0.294237	-0.005579	0.044540
17.000000	9.692695	0.161959	0.731984	-0.302147	0.011753	0.031812
18.000000	9.496016	0.206546	0.727550	-0.339878	0.019742	0.002680
19.000000	9.613611	0.256282	0.771445	-0.366699	-0.007296	-0.017036
20.000000	9.894280	0.219425	0.821652	-0.361485	0.003047	0.009870
21.000000	10.121653	0.201453	0.793860	-0.301917	0.032969	0.054591
22.000000	10.009137	0.266786	0.724652	-0.218959	0.062591	0.086532
23.000000	9.766507	0.393957	0.595977	-0.116905	0.072954	0.114426
24.000000	9.657504	0.441326	0.496320	-0.087015	0.053750	0.134913
25.000000	9.835367	0.460547	0.513269	-0.091754	0.043340	0.127456
26.000000	10.099036	0.477581	0.638562	-0.077009	0.033944	0.122806
27.000000	10.129623	0.613697	0.803568	-0.081503	0.014910	0.122794
28.000000	9.943719	0.671302	0.932022	-0.070396	0.038361	0.117199
29.000000	9.827611	0.436282	0.936928	-0.040271	0.026554	0.114082
30.000000	9.680241	0.120303	0.941734	-0.003739	0.012311	0.098335
31.000000	9.603788	-0.233479	1.043715	0.014618	0.017510	0.105977
32.000000	9.603328	-0.539772	1.251301	0.037129	0.025494	0.103420
33.000000	9.743567	-0.857080	1.477756	0.093241	0.036469	0.123745
34.000000	9.869699	-1.053531	1.725795	0.145181	0.036301	0.133312
35.000000	9.862657	-1.060726	1.992863	0.203122	0.038356	0.160870
36.000000	9.896046	-0.993795	2.199352	0.241729	0.023956	0.164999
37.000000	9.859538	-0.800877	2.314155	0.296126	-0.015513	0.195158
38.000000	9.789758	-0.590559	2.439480	0.317562	-0.014916	0.205332
39.000000	9.656110	-0.373199	2.474295	0.291926	0.014729	0.210066
40.000000	9.532615	-0.239431	2.476201	0.259939	0.057487	0.236581
41.000000	9.570802	-0.235775	2.463290	0.212915	0.099088	0.241598
42.000000	9.669234	-0.303259	2.412584	0.162857	0.175089	0.253849
43.000000	9.754677	-0.363568	2.363628	0.081882	0.267142	0.295234
44.000000	9.817163	-0.495378	2.431916	0.010726	0.400093	0.280021
45.000000	9.740797	-0.635698	2.623301	-0.039611	0.542513	0.291950
46.000000	9.639001	-0.837382	2.927708	-0.076807	0.671207	0.302066
47.000000	9.459702	-1.098790	3.314659	-0.059807	0.802032	0.310859
48.000000	9.337171	-1.336607	3.871801	-0.093313	0.907785	0.348827
49.000000	9.271157	-1.473857	4.362682	-0.143923	1.023054	0.379373
50.000000	9.344062	-1.428812	4.542910	-0.284253	1.154381	0.425086
51.000000	9.312525	-1.358620	4.488858	-0.454244	1.316222	0.468129
52.000000	9.306790	-1.141545	4.322880	-0.668339	1.442556	0.466101
53.000000	9.498362	-0.841525	4.128152	-0.823670	1.562120	0.440698
54.000000	10.041634	-0.673768	4.074983	-0.912421	1.629933	0.413355
55.000000	10.482655	-0.458094	3.867608	-0.856057	1.574594	0.420961
56.000000	11.081925	-0.422902	2.897221	-0.456851	1.366612	0.450572
57.000000	11.777346	0.098511	1.681489	-0.142146	1.220431	0.373156
58.000000	12.183127	0.073700	1.022008	0.100487	1.111437	0.244420
59.000000	11.728640	-0.185735	1.130291	0.038855	0.951600	0.145410
60.000000	11.139690	0.165156	1.489775	-0.282132	0.863398	0.109986
61.000000	9.816281	-0.287019	2.050694	-0.641023	0.943232	0.063304
62.000000	9.564576	-0.323103	2.523292	-0.958380	0.974598	0.003962
63.000000	8.985923	-0.967736	3.069277	-1.205512	0.982418	-0.040172
64.000000	8.679023	-1.473248	3.197799	-1.367721	0.969557	-0.068000
65.000000	8.956755	-2.275820	2.797931	-1.457410	0.951263	-0.015536
66.000000	8.956428	-2.363681	2.798197	-1.497896	0.957627	-0.007835
67.000000	9.080293	-2.166668	2.535979	-1.361224	0.920041	0.009368
68.000000	9.115566	-2.132124	2.224881	-1.139337	0.865066	0.009138
69.000000	8.944083	-2.142216	2.070975	-0.989447	0.795490	0.003762
70.000000	8.788301	-2.033555	2.195513	-0.915678	0.700144	-0.002527
71.000000	8.671448	-1.764977	2.248383	-0.947685	0.648012	-0.036306
72.000000	8.488167	-1.522135	2.409590	-0.992698	0.639488	-0.067638
73.000000	8.391542	-1.256761	2.651844	-1.092093	0.603935	-0.044786
74.000000	8.389652	-1.119175	2.757496	-1.139705	0.528372	-0.050450
75.000000	8.439114	-1.081361	2.730027	-1.094948	0.485539	-0.029239
76.000000	8.507929	-1.329429	2.589627	-1.000472	0.445988	-0.005530
